IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
135;Pedicure-0006;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Thematic;A thin transparent film of 8-10 microns.;Pedicure;Thematic;12;Lucky Rose;;;;WD-WF-P-0006;;;;;;;;;;;;;;;;;;;Pedicure;;;1000;0;0;0;0;;;1.99;USD
136;Pedicure-0007;500;;;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0007;;;;;;;;;;;;;;;;;;;Pedicure;;;1000;0;0;0;0;;;1.99;USD
171;F-0008;500;;;/upload/iblock/a29/a29365655b16d01db43631f567047974.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0008;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
172;3D slider-0001;500;/upload/iblock/b55/b559305792725e8d1f6e03e87b9d5639.jpg;;/upload/iblock/dcc/dccadcea77e142c83b82bd2c0a1bc741.jpg;3D details water decal with a white base on a thin transparent film.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;;;;WD-TF-3D-0001;;;;;;;;;;;;;;;;;;;3D slider;;;1000;0;0;0;0;;;1.99;USD
173;F-0009;500;;;/upload/iblock/981/981ac6f5291bbb22787f940130f955cb.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0009;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
174;F-0010;500;;;/upload/iblock/401/401703980ded863a3e9b0d033b018275.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Lace;A thin transparent film of 8-10 microns.;F;Lace;14;Lucky Rose;;;;WD-TF-F-0010;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
175;F-0011;500;;;/upload/iblock/9b6/9b608a716398584858f190e3d6d314ee.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0011;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
176;F-0012;500;;;/upload/iblock/daa/daa6e8d2c31583434382bab778e9d429.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;F;Inscriptions;14;Lucky Rose;;;;WD-TF-F-0012;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
177;F-0013;500;;;/upload/iblock/c6d/c6d15a977d828b8a31be57808737e196.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0013;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
178;F-0014;500;;;/upload/iblock/5fa/5fa4b249b77500c9b05ca8d366b2250c.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0014;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
179;F-0015;500;;;/upload/iblock/ef5/ef506c57462c37c7b52f3b1e39fb1161.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0015;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
180;F-0016;500;;;/upload/iblock/49a/49aa293597e693a67ee34c23214eae27.png;;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;;;;WD-TF-F-0016;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
181;F-0017;500;;;/upload/iblock/dd1/dd1245a30ab174700bfe8c14c522110e.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0017;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
182;F-0018;500;;;/upload/iblock/1c1/1c1a01ef1f6f8da7fd5409f2aa0bc286.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0018;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
183;F-0019;500;;;/upload/iblock/955/9550140471a9ca216233b0c88f6377ce.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;;;;WD-TF-F-0019;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
184;F-0020;500;;;/upload/iblock/9b4/9b45fb4a4cf8012e50e499a0ae612bfc.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;;;;WD-TF-F-0020;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
185;F-0021;500;;;/upload/iblock/205/205e5328a21aa4b170954d68910916f5.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;;;;WD-TF-F-0021;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
186;F-0022;500;;;/upload/iblock/535/535afd361dbba4fc89d1293e7ada81a1.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;;;;WD-TF-F-0022;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
187;F-0023;500;;;/upload/iblock/a69/a69994a5582defdc970019f5963cfcab.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;People;A thin transparent film of 8-10 microns.;F;People;14;Lucky Rose;;;;WD-TF-F-0023;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
188;F-0024;500;;;/upload/iblock/f7d/f7df460d8753538d4c6e17c33efa7392.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;F;Mixed;21;Lucky Rose;;;;WD-TF-F-0024;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
189;F-0025;500;;;/upload/iblock/1a3/1a33173d576483599248089f18d36f03.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;F;Fruits;14;Lucky Rose;;;;WD-TF-F-0025;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
190;F-0026;500;;;/upload/iblock/c7b/c7b932faf35650fda14e802ed53a7f03.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0026;;;;;;;;;;;;;;;;;;;F series;;;1000;0;0;0;0;;;1.99;USD
