IE_NAME;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
Black-0012;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;14;Lucky Rose;WD-TF-B-0012;200;;;1,99;USD
Black-0013;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0013;200;;;1,99;USD
Black-0014;Black;Seosons;A thin transparent film of 8-10 microns.;Black;Seosons;30;Lucky Rose;WD-TF-B-0014;200;;;1,99;USD
Black-0015;Black;Heroes;A thin transparent film of 8-10 microns.;Black;Heroes;30;Lucky Rose;WD-TF-B-0015;200;;;1,99;USD
Black-0016;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0016;200;;;1,99;USD
Black-0017;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0017;200;;;1,99;USD
Black-0018;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0018;200;;;1,99;USD
Black-0019;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0019;200;;;1,99;USD
Black-0020;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0020;200;;;1,99;USD
Black-0021;Black;Pattern;A thin transparent film of 8-10 microns.;Black;Pattern;14;Lucky Rose;WD-TF-B-0021;200;;;1,99;USD
Black-0022;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0022;200;;;1,99;USD
Black-0023;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;21;Lucky Rose;WD-TF-B-0023;200;;;1,99;USD
Black-0024;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;21;Lucky Rose;WD-TF-B-0024;200;;;1,99;USD
Black-0025;Black;Inscriptions;A thin transparent film of 8-10 microns.;Black;Inscriptions;14;Lucky Rose;WD-TF-B-0025;200;;;1,99;USD
Black-0026;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0026;200;;;1,99;USD
Black-0027;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0027;200;;;1,99;USD
Black-0028;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;14;Lucky Rose;WD-TF-B-0028;200;;;1,99;USD
Black-0029;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;14;Lucky Rose;WD-TF-B-0029;200;;;1,99;USD
Black-0030;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0030;200;;;1,99;USD
Black-0031;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0031;200;;;1,99;USD
Black-0032;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0032;200;;;1,99;USD
Black-0033;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0033;200;;;1,99;USD
Black-0034;Black;Animals;A thin transparent film of 8-10 microns.;Black;Animals;21;Lucky Rose;WD-TF-B-0034;200;;;1,99;USD
Black-0035;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0035;200;;;1,99;USD
Black-0036;Black;Thematic;A thin transparent film of 8-10 microns.;Black;Thematic;30;Lucky Rose;WD-TF-B-0036;200;;;1,99;USD
Black-0037;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0037;200;;;1,99;USD
Black-0038;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0038;200;;;1,99;USD
Black-0039;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0039;200;;;1,99;USD
Black-0040;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0040;200;;;1,99;USD
Black-0041;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0041;200;;;1,99;USD
Black-0042;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0042;200;;;1,99;USD
