IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP76;IP_PROP71;IP_PROP75;IP_PROP72;IP_PROP74;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP51;IP_PROP53;IP_PROP59;IP_PROP50;IP_PROP52;IP_PROP57;IP_PROP61;IP_PROP54;IP_PROP56;IP_PROP49;IP_PROP55;IP_PROP58;IP_PROP60;IP_PROP63;IP_PROP62;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2
179;F-0015;179;Y;;;;;text;/upload/iblock/826/8260c8808595d6b6c2b0c15530828d88.png;Colorful water decal on transparent film. Use only on white background.;text;0015_f;500;;;;Colorful;Flowers;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Flowers;;;;WD-TF-F-0015;;;;;;;;;;;;;;;;;;;F series;;
180;F-0016;180;Y;;;;;text;/upload/iblock/78c/78c19042c030f5c1f1eb1328a25909ad.png;;text;0016_f;500;;;;Colorful;Pattern;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Pattern;;;;WD-TF-F-0016;;;;;;;;;;;;;;;;;;;F series;;
181;F-0017;181;Y;;;;;text;/upload/iblock/d07/d077ae935992b8d8be155db9d9837e44.png;Colorful water decal on transparent film. Use only on white background.;text;0017_f;500;;;;Colorful;Thematic;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Thematic;;;;WD-TF-F-0017;;;;;;;;;;;;;;;;;;;F series;;
182;F-0018;182;Y;;;;;text;/upload/iblock/77b/77bd285d61b3599f427cdb05218cfe84.png;Colorful water decal on transparent film. Use only on white background.;text;0018_f;500;;;;Colorful;Flowers;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Flowers;;;;WD-TF-F-0018;;;;;;;;;;;;;;;;;;;F series;;
183;F-0019;183;Y;;;;;text;/upload/iblock/a5d/a5dde4263465b4e98039ed8dc65bd976.png;Colorful water decal on transparent film. Use only on white background.;text;0019_f;500;;;;Colorful;Pattern;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Pattern;;;;WD-TF-F-0019;;;;;;;;;;;;;;;;;;;F series;;
184;F-0020;184;Y;;;;;text;/upload/iblock/96c/96c4d9bd6a6625fbc34a105be71ebe3a.png;Colorful water decal on transparent film. Use only on white background.;text;0020_f;500;;;;Colorful;Pattern;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Pattern;;;;WD-TF-F-0020;;;;;;;;;;;;;;;;;;;F series;;
185;F-0021;185;Y;;;;;text;/upload/iblock/4e9/4e910cea97ea4a93e146b59fc8bfb172.png;Colorful water decal on transparent film. Use only on white background.;text;0021_f;500;;;;Colorful;Pattern;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Pattern;;;;WD-TF-F-0021;;;;;;;;;;;;;;;;;;;F series;;
186;F-0022;186;Y;;;;;text;/upload/iblock/7cf/7cf47b9fd93a3a0fd8f24c7a136c8490.png;Colorful water decal on transparent film. Use only on white background.;text;0022_f;500;;;;Colorful;Pattern;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;Pattern;;;;WD-TF-F-0022;;;;;;;;;;;;;;;;;;;F series;;
187;F-0023;187;Y;;;;;text;/upload/iblock/1b8/1b8f5eb358fb10aa14060aba98af518c.png;Colorful water decal on transparent film. Use only on white background.;text;0023_f;500;;;;Colorful;People;Lucky Rose;A thin transparent film of 8-10 microns.;14;F;People;;;;WD-TF-F-0023;;;;;;;;;;;;;;;;;;;F series;;
188;F-0024;188;Y;;;;;text;/upload/iblock/e96/e96a6176c6d16876e67bb5a98d362a88.png;Colorful water decal on transparent film. Use only on white background.;text;0024_f;500;;;;Colorful;Mixed;Lucky Rose;A thin transparent film of 8-10 microns.;21;F;Mixed;;;;WD-TF-F-0024;;;;;;;;;;;;;;;;;;;F series;;
