IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
199;F-0035;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Others;A thin transparent film of 8-10 microns.;F;Others;14;Lucky Rose;;;;WD-TF-F-0035;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
200;F-0036;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Animals;A thin transparent film of 8-10 microns.;F;Animals;21;Lucky Rose;;;;WD-TF-F-0036;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
201;F-0037;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;21;Lucky Rose;;;;WD-TF-F-0037;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
202;F-0038;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Abstraction;A thin transparent film of 8-10 microns.;F;Abstraction;14;Lucky Rose;;;;WD-TF-F-0038;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
203;F-0039;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0039;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
204;F-0040;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;;;;WD-TF-F-0040;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
205;F-0041;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Others;A thin transparent film of 8-10 microns.;F;Others;14;Lucky Rose;;;;WD-TF-F-0041;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
206;F-0042;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Abstraction;A thin transparent film of 8-10 microns.;F;Abstraction;14;Lucky Rose;;;;WD-TF-F-0042;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
207;F-0043;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;F;Mixed;14;Lucky Rose;;;;WD-TF-F-0043;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
208;F-0044;500;Colorful water decal on transparent film. Use only on white background.;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;F;Pattern;14;Lucky Rose;;;;WD-TF-F-0044;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
