IE_NAME;IE_ID;IE_CODE;IC_GROUP0;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
Aero Neon-0007;517;aero_neon_0007;Aero series;Colorful;Others;A thin transparent film of 8-10 microns.;Aero Neon;Others;14;Lucky Rose;WD-TF-A-N-0007;200;;;1,99;USD
Aero Neon-0008;518;aero_neon_0008;Aero series;Colorful;Geometry;A thin transparent film of 8-10 microns.;Aero Neon;Geometry;21;Lucky Rose;WD-TF-A-N-0008;200;;;1,99;USD
Aero Neon-0009;519;aero_neon_0009;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero Neon;Mixed;30;Lucky Rose;WD-TF-A-N-0009;200;;;1,99;USD
Aero Neon-0010;520;aero_neon_0010;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero Neon;Mixed;30;Lucky Rose;WD-TF-A-N-0010;200;;;1,99;USD
Aero White-0001;510;aero_white_0001;Aero series;White;Geometry;A thin transparent film of 8-10 microns.;Aero White;Geometry;14;Lucky Rose;WD-TF-A-W-0001;200;;;1,99;USD
Aero White-0002;513;aero_white_0002;Aero series;White;Gradient;A thin transparent film of 8-10 microns.;Aero White;Gradient;14;Lucky Rose;WD-TF-A-W-0002;200;;;1,99;USD
Aero White-0003;514;aero_white_0003;Aero series;White;Geometry;A thin transparent film of 8-10 microns.;Aero White;Geometry;14;Lucky Rose;WD-TF-A-W-0003;200;;;1,99;USD
Aero White-0004;523;aero_white_0004;Aero series;White;Geometry;A thin transparent film of 8-10 microns.;Aero White;Geometry;14;Lucky Rose;WD-TF-A-W-0004;200;;;1,99;USD
Aero-0005;515;aero_0005;Aero series;Black-White;Others;A thin transparent film of 8-10 microns.;Aero;Others;14;Lucky Rose;WD-TF-A-0005;200;;;1,99;USD
Aero-0011;524;aero_0011;Aero series;Colorful;Animals;A thin transparent film of 8-10 microns.;Aero;Animals;21;Lucky Rose;WD-TF-A-0011;200;;;1,99;USD
Aero-0012;525;aero_0012;Aero series;Colorful;Geometry;A thin transparent film of 8-10 microns.;Aero;Geometry;21;Lucky Rose;WD-TF-A-0012;200;;;1,99;USD
Aero-0013;526;aero_0013;Aero series;Colorful;Seosons;A thin transparent film of 8-10 microns.;Aero;Seosons;30;Lucky Rose;WD-TF-A-0013;200;;;1,99;USD
Aero-0014;527;aero_0014;Aero series;Black-White;Geometry;A thin transparent film of 8-10 microns.;Aero;Geometry;21;Lucky Rose;WD-TF-A-0014;200;;;1,99;USD
Aero-0015;528;aero_0015;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;30;Lucky Rose;WD-TF-A-0015;200;;;1,99;USD
Aero-0016;529;aero_0016;Aero series;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;Aero;Inscriptions;30;Lucky Rose;WD-TF-A-0016;200;;;1,99;USD
Aero-0017;530;aero_0017;Aero series;Colorful;Others;A thin transparent film of 8-10 microns.;Aero;Others;14;Lucky Rose;WD-TF-A-0017;200;;;1,99;USD
Aero-0018;;aero_0018;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;14;Lucky Rose;WD-TF-A-0018;200;;;1,99;USD
Aero-0019;;aero_0019;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;21;Lucky Rose;WD-TF-A-0019;200;;;1,99;USD
Aero-0020;;aero_0020;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;21;Lucky Rose;WD-TF-A-0020;200;;;1,99;USD
Aero-0021;;aero_0021;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;14;Lucky Rose;WD-TF-A-0021;200;;;1,99;USD
Aero-0022;;aero_0022;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;30;Lucky Rose;WD-TF-A-0022;200;;;1,99;USD
Aero Neon-0023;;aero_neon_0023;Aero series;Colorful;Flowers;A thin transparent film of 8-10 microns.;Aero;Flowers;30;Lucky Rose;WD-TF-A-0023;200;;;1,99;USD
Aero Neon-0024;;aero_neon_0024;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;30;Lucky Rose;WD-TF-A-0024;200;;;1,99;USD
Aero Neon-0025;;aero_neon_0025;Aero series;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;Aero;Inscriptions;21;Lucky Rose;WD-TF-A-0025;200;;;1,99;USD
Aero-0026;;aero_0026;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;14;Lucky Rose;WD-TF-A-0026;200;;;1,99;USD
Aero-0027;;aero_0027;Aero series;Colorful;Seosons;A thin transparent film of 8-10 microns.;Aero;Seosons;30;Lucky Rose;WD-TF-A-0027;200;;;1,99;USD
Aero-0028;;aero_0028;Aero series;Colorful;Geometry;A thin transparent film of 8-10 microns.;Aero;Geometry;30;Lucky Rose;WD-TF-A-0028;200;;;1,99;USD
Black-0001;92;black_0001;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0001;200;;;1,99;USD
Black-0002;93;black_0002;Black series;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;WD-TF-B-0002;200;;;1,99;USD
Black-0003;94;black_0003;Black series;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0003;200;;;1,99;USD
Black-0004;95;black_0004;Black series;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0004;200;;;1,99;USD
Black-0005;96;black_0005;Black series;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0005;200;;;1,99;USD
Black-0006;351;black_0006;Black series;Black;Animals;A thin transparent film of 8-10 microns.;Black;Animals;21;Lucky Rose;WD-TF-B-0006;200;;;1,99;USD
Black-0007;352;black_0007;Black series;Black;Inscriptions;A thin transparent film of 8-10 microns.;Black;Inscriptions;21;Lucky Rose;WD-TF-B-0007;200;;;1,99;USD
Black-0008;353;black_0008;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0008;200;;;1,99;USD
Black-0009;354;black_0009;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0009;200;;;1,99;USD
Black-0010;355;black_0010;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;21;Lucky Rose;WD-TF-B-0010;200;;;1,99;USD
Black-0011;356;black_0011;Black series;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;WD-TF-B-0011;200;;;1,99;USD
Black-0012;357;black_0012;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;14;Lucky Rose;WD-TF-B-0012;200;;;1,99;USD
Black-0013;358;black_0013;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0013;200;;;1,99;USD
Black-0014;359;black_0014;Black series;Black;Seosons;A thin transparent film of 8-10 microns.;Black;Seosons;30;Lucky Rose;WD-TF-B-0014;200;;;1,99;USD
Black-0015;360;black_0015;Black series;Black;Heroes;A thin transparent film of 8-10 microns.;Black;Heroes;30;Lucky Rose;WD-TF-B-0015;200;;;1,99;USD
Black-0016;361;black_0016;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0016;200;;;1,99;USD
Black-0017;362;black_0017;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0017;200;;;1,99;USD
Black-0018;363;black_0018;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0018;200;;;1,99;USD
Black-0019;364;black_0019;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0019;200;;;1,99;USD
Black-0020;365;black_0020;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0020;200;;;1,99;USD
Black-0021;366;black_0021;Black series;Black;Pattern;A thin transparent film of 8-10 microns.;Black;Pattern;14;Lucky Rose;WD-TF-B-0021;200;;;1,99;USD
Black-0022;367;black_0022;Black series;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0022;200;;;1,99;USD
Black-0023;368;black_0023;Black series;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;21;Lucky Rose;WD-TF-B-0023;200;;;1,99;USD
Black-0024;369;black_0024;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;21;Lucky Rose;WD-TF-B-0024;200;;;1,99;USD
Black-0025;370;black_0025;Black series;Black;Inscriptions;A thin transparent film of 8-10 microns.;Black;Inscriptions;14;Lucky Rose;WD-TF-B-0025;200;;;1,99;USD
Black-0026;371;black_0026;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0026;200;;;1,99;USD
Black-0027;372;black_0027;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0027;200;;;1,99;USD
Black-0028;373;black_0028;Black series;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;14;Lucky Rose;WD-TF-B-0028;200;;;1,99;USD
Black-0029;374;black_0029;Black series;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;14;Lucky Rose;WD-TF-B-0029;200;;;1,99;USD
Black-0030;375;black_0030;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0030;200;;;1,99;USD
Black-0031;376;black_0031;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0031;200;;;1,99;USD
Black-0032;377;black_0032;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0032;200;;;1,99;USD
Black-0033;378;black_0033;Black series;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0033;200;;;1,99;USD
Black-0034;379;black_0034;Black series;Black;Animals;A thin transparent film of 8-10 microns.;Black;Animals;21;Lucky Rose;WD-TF-B-0034;200;;;1,99;USD
Black-0035;380;black_0035;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0035;200;;;1,99;USD
Black-0036;459;black_0036;Black series;Black;Thematic;A thin transparent film of 8-10 microns.;Black;Thematic;30;Lucky Rose;WD-TF-B-0036;200;;;1,99;USD
Black-0037;460;black_0037;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0037;200;;;1,99;USD
Black-0038;461;black_0038;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0038;200;;;1,99;USD
Black-0039;462;black_0039;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0039;200;;;1,99;USD
Black-0040;463;black_0040;Black series;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0040;200;;;1,99;USD
Black-0041;;black_0041;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0041;200;;;1,99;USD
Black-0042;;black_0042;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0042;200;;;1,99;USD
Black-0043;;black_0043;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0043;200;;;1,99;USD
Black-0044;;black_0044;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0044;200;;;1,99;USD
Black-0045;;black_0045;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0045;200;;;1,99;USD
Black-0046;;black_0046;Black series;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0046;200;;;1,99;USD
Black-0047;;black_0047;Black series;Black;Abstraction;A thin transparent film of 8-10 microns.;Black;Abstraction;30;Lucky Rose;WD-TF-B-0047;200;;;1,99;USD
